index,country_or_territory_name,total_cases,total_deaths,date,new_cases,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,14497,304,2020-02-02,,,,,,,,,
1,Japan,20,0,2020-02-02,,,,,,,,,
2,Thailand,19,0,2020-02-02,,,,,,,,,
3,Singapore,18,0,2020-02-02,,,,,,,,,
4,South Korea,15,0,2020-02-02,,,,,,,,,
5,Hong Kong,14,0,2020-02-02,,,,,,,,,
6,Australia,12,0,2020-02-02,,,,,,,,,
7,Germany,10,0,2020-02-02,,,,,,,,,
8,Taiwan,10,0,2020-02-02,,,,,,,,,
9,Malaysia,8,0,2020-02-02,,,,,,,,,
10,Macao,8,0,2020-02-02,,,,,,,,,
11,U.S.,8,0,2020-02-02,,,,,,,,,
12,Vietnam,7,0,2020-02-02,,,,,,,,,
13,France,6,0,2020-02-02,,,,,,,,,
14,U.A.E.,5,0,2020-02-02,,,,,,,,,
15,Canada,4,0,2020-02-02,,,,,,,,,
16,Philippines,2,1,2020-02-02,,,,,,,,,
17,India,2,0,2020-02-02,,,,,,,,,
18,U.K.,2,0,2020-02-02,,,,,,,,,
19,Italy,2,0,2020-02-02,,,,,,,,,
20,Russia,2,0,2020-02-02,,,,,,,,,
21,Finland,1,0,2020-02-02,,,,,,,,,
22,Sweden,1,0,2020-02-02,,,,,,,,,
23,Sri Lanka,1,0,2020-02-02,,,,,,,,,
24,Nepal,1,0,2020-02-02,,,,,,,,,
25,Cambodia,1,0,2020-02-02,,,,,,,,,
26,Spain,1,0,2020-02-02,,,,,,,,,
