index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,3764824,71269,181456,1807,1726554,1856814,18907,0,0,0,0,2020-07-09
1,South America,2731812,61207,100340,1776,1779199,852273,13623,0,0,0,0,2020-07-09
2,Asia,2791289,55505,66630,1114,1920474,804185,19578,0,0,0,0,2020-07-09
3,Europe,2532361,13427,195484,429,1479363,857514,5381,0,0,0,0,2020-07-09
4,Africa,544948,19056,12495,225,265682,266771,952,0,0,0,0,2020-07-09
5,Oceania,10714,176,128,0,9174,1412,10,0,0,0,0,2020-07-09
6,,721,0,15,0,651,55,4,0,0,0,0,2020-07-09
7,World,12376669,220640,556548,5351,7181097,4639024,58455,1588,714,0,0,2020-07-09
8,USA,3218903,59971,135794,932,1426170,1656939,15647,9723,410,40145692,121270,2020-07-09
9,Brazil,1759103,42907,69254,1199,1152467,537382,8318,8275,326,4468829,21021,2020-07-09
10,India,794855,25803,21623,479,495960,277272,8944,576,16,10740832,7782,2020-07-09
11,Russia,707301,6509,10843,176,481316,215142,2300,4847,74,22079294,151294,2020-07-09
12,Peru,316448,3537,11314,181,207802,97332,1292,9595,343,1863278,56497,2020-07-09
13,Chile,306216,3133,6682,109,274922,24612,1999,16016,349,1237632,64731,2020-07-09
14,Spain,300136,543,28401,5,0,0,617,6419,607,5734599,122652,2020-07-09
15,UK,287621,642,44602,85,0,0,185,4236,657,11286921,166244,2020-07-09
16,Mexico,275003,6995,32796,782,167795,74412,378,2132,254,684804,5310,2020-07-09
17,Iran,250458,2079,12305,221,212176,25977,3324,2981,146,1897803,22590,2020-07-09
18,Italy,242363,214,34926,12,193978,13459,69,4009,578,5806668,96042,2020-07-09
19,Pakistan,240848,3359,4983,61,145311,90554,2193,1090,23,1491437,6750,2020-07-09
20,South Africa,238339,13674,3720,118,113061,121558,539,4018,63,2000569,33724,2020-07-09
21,Saudi Arabia,223327,3183,2100,41,161096,60131,2225,6413,60,2124976,61022,2020-07-09
22,Turkey,209962,1024,5300,18,190390,14272,1179,2489,63,3832623,45434,2020-07-09
23,Germany,199198,433,9125,10,183600,6473,292,2377,109,6376054,76096,2020-07-09
24,Bangladesh,175494,3360,2238,41,84544,88712,1,1065,14,907784,5511,2020-07-09
25,France,170094,621,29979,14,78170,61945,512,2606,459,1384633,21212,2020-07-09
26,Colombia,133973,5335,4714,187,56272,72987,875,2632,93,945240,18573,2020-07-09
27,Canada,106742,308,8746,9,70503,27493,2151,2828,232,3055341,80939,2020-07-09
