index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,30551,633,1593,2020-02-06,,,,,,,,
1,Japan,45,0,0,2020-02-06,,,,,,,,
2,Singapore,30,0,1,2020-02-06,,,,,,,,
3,Thailand,25,0,9,2020-02-06,,,,,,,,
4,Hong Kong,24,1,0,2020-02-06,,,,,,,,
5,S. Korea,23,0,1,2020-02-06,,,,,,,,
6,Taiwan,16,0,1,2020-02-06,,,,,,,,
7,Australia,15,0,3,2020-02-06,,,,,,,,
8,Malaysia,14,0,1,2020-02-06,,,,,,,,
9,Germany,13,0,0,2020-02-06,,,,,,,,
10,USA,12,0,1,2020-02-06,,,,,,,,
11,Vietnam,12,0,3,2020-02-06,,,,,,,,
12,Macao,10,0,0,2020-02-06,,,,,,,,
13,Canada,7,0,0,2020-02-06,,,,,,,,
14,France,6,0,0,2020-02-06,,,,,,,,
15,U.A.E.,5,0,0,2020-02-06,,,,,,,,
16,Philippines,3,1,0,2020-02-06,,,,,,,,
17,India,3,0,0,2020-02-06,,,,,,,,
18,U.K.,3,0,0,2020-02-06,,,,,,,,
19,Italy,3,0,0,2020-02-06,,,,,,,,
20,Russia,2,0,0,2020-02-06,,,,,,,,
21,Nepal,1,0,0,2020-02-06,,,,,,,,
22,Cambodia,1,0,0,2020-02-06,,,,,,,,
23,Sri Lanka,1,0,1,2020-02-06,,,,,,,,
24,Finland,1,0,1,2020-02-06,,,,,,,,
25,Sweden,1,0,0,2020-02-06,,,,,,,,
26,Belgium,1,0,0,2020-02-06,,,,,,,,
27,Spain,1,0,0,2020-02-06,,,,,,,,
