index,country_or_territory_name,total_cases,new_cases,total_deaths,date,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,11860,69,259,2020-02-01,,,,,,,,
1,Japan,20,3,0,2020-02-01,,,,,,,,
2,Thailand,19,0,0,2020-02-01,,,,,,,,
3,Singapore,18,2,0,2020-02-01,,,,,,,,
4,Hong Kong,13,0,0,2020-02-01,,,,,,,,
5,South Korea,12,1,0,2020-02-01,,,,,,,,
6,Australia,12,3,0,2020-02-01,,,,,,,,
7,Taiwan,10,0,0,2020-02-01,,,,,,,,
8,Malaysia,8,0,0,2020-02-01,,,,,,,,
9,U.S.,7,0,0,2020-02-01,,,,,,,,
10,Germany,7,0,0,2020-02-01,,,,,,,,
11,Macao,7,0,0,2020-02-01,,,,,,,,
12,Vietnam,6,1,0,2020-02-01,,,,,,,,
13,France,6,0,0,2020-02-01,,,,,,,,
14,U.A.E.,4,0,0,2020-02-01,,,,,,,,
15,Canada,4,0,0,2020-02-01,,,,,,,,
16,Italy,2,0,0,2020-02-01,,,,,,,,
17,Russia,2,0,0,2020-02-01,,,,,,,,
18,U.K.,2,0,0,2020-02-01,,,,,,,,
19,Cambodia,1,0,0,2020-02-01,,,,,,,,
20,India,1,0,0,2020-02-01,,,,,,,,
21,Finland,1,0,0,2020-02-01,,,,,,,,
22,Philippines,1,0,0,2020-02-01,,,,,,,,
23,Sri Lanka,1,0,0,2020-02-01,,,,,,,,
24,Nepal,1,0,0,2020-02-01,,,,,,,,
25,Sweden,1,0,0,2020-02-01,,,,,,,,
26,Spain,1,0,0,2020-02-01,,,,,,,,
