index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2327230,23894,137938,1553,958878,1230414,19443,0,0,0,0,2020-06-09
1,South America,1218869,42593,52844,1517,563823,602202,11931,0,0,0,0,2020-06-09
2,Europe,2124695,14928,180184,824,1105422,839089,7011,0,0,0,0,2020-06-09
3,Asia,1425636,33154,36328,689,864734,524574,15054,0,0,0,0,2020-06-09
4,Africa,205520,6530,5568,178,92914,107038,499,0,0,0,0,2020-06-09
5,Oceania,8878,3,124,0,8308,446,2,0,0,0,0,2020-06-09
6,,721,0,15,0,651,55,4,0,0,0,0,2020-06-09
7,World,7311549,121102,413001,4761,3594730,3303818,53944,938,530,0,0,2020-06-09
8,USA,2045439,18946,114152,1097,784493,1146794,16914,6182,345,22100509,66792,2020-06-09
9,Brazil,742084,31197,38497,1185,325602,377985,8318,3493,181,999836,4706,2020-06-09
10,Russia,485253,8595,6142,171,242397,236714,2300,3325,42,13254678,90828,2020-06-09
11,UK,289140,1741,40883,286,0,0,516,4261,602,5870506,86503,2020-06-09
12,Spain,289046,249,27136,0,0,0,617,6182,580,4465338,95508,2020-06-09
13,India,276146,10218,7750,277,134667,133729,8944,200,6,4916116,3565,2020-06-09
14,Italy,235561,283,34043,79,168646,32872,263,3896,563,4318650,71422,2020-06-09
15,Peru,203736,4040,5738,167,92929,105069,1077,6185,174,1227691,37268,2020-06-09
16,Germany,186516,311,8831,48,170200,7485,540,2227,105,4348880,51916,2020-06-09
17,Iran,175927,2095,8425,74,138457,29045,2639,2096,100,1128601,13448,2020-06-09
18,Turkey,172114,993,4729,18,144598,22787,642,2042,56,2415179,28656,2020-06-09
19,France,154591,403,29296,87,71506,53789,955,2369,449,1384633,21216,2020-06-09
20,Chile,142759,3913,2283,19,95631,44845,1689,7472,119,746592,39076,2020-06-09
21,Mexico,120102,2999,14053,354,87633,18416,378,932,109,344375,2673,2020-06-09
22,Saudi Arabia,108571,3288,783,37,76339,31449,1686,3122,23,997673,28687,2020-06-09
23,Pakistan,108317,4646,2172,105,35018,71127,111,491,10,730453,3311,2020-06-09
24,Canada,96653,409,7897,62,55571,33185,1828,2562,209,1930141,51168,2020-06-09
25,Qatar,71879,1721,62,5,47569,24248,236,25600,22,265035,94392,2020-06-09
26,Bangladesh,71675,3171,975,45,15337,55363,1,435,6,425595,2586,2020-06-09
27,Belgium,59437,89,9619,13,16324,33494,115,5130,830,958513,82726,2020-06-09
28,South Africa,52991,2112,1162,82,29006,22823,208,894,20,968070,16336,2020-06-09
29,Belarus,50265,812,282,6,24506,25477,92,5319,30,644160,68169,2020-06-09
30,Netherlands,47903,164,6031,15,0,0,92,2796,352,424448,24774,2020-06-09
31,Sweden,45924,202,4717,23,0,0,288,4549,467,275500,27289,2020-06-09
32,Ecuador,43917,539,3690,48,21020,19207,219,2492,209,128175,7272,2020-06-09
33,Colombia,42078,1359,1372,64,16534,24172,335,828,27,432870,8513,2020-06-09
34,UAE,39904,528,283,2,22740,16881,1,4038,29,2537000,256708,2020-06-09
35,Singapore,38514,218,25,0,25877,12612,3,6586,4,408495,69858,2020-06-09
36,Egypt,36829,1385,1306,35,9786,25737,41,360,13,135000,1321,2020-06-09
37,Portugal,35306,421,1492,7,21339,12475,65,3462,146,940988,92269,2020-06-09
38,Kuwait,33140,630,273,4,22162,10705,173,7768,64,321506,75356,2020-06-09
39,Indonesia,33076,1043,1923,40,11414,19739,0,121,7,429161,1570,2020-06-09
40,Switzerland,30988,16,1934,11,28700,354,24,3582,224,428973,49588,2020-06-09
41,Ukraine,27856,394,810,13,12412,14634,304,637,19,437444,9999,2020-06-09
42,Poland,27560,400,1183,17,13196,13181,160,728,31,1087853,28742,2020-06-09
43,Ireland,25215,8,1691,8,22698,826,34,5110,343,367780,74535,2020-06-09
44,Argentina,24761,1141,717,24,7568,16476,274,548,16,203051,4495,2020-06-09
