index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,9013622,59338,313886,1410,5833190,2866546,17551,0,0,0,0,2020-10-02
1,Asia,10867413,115653,198278,1743,9136256,1532879,20719,0,0,0,0,2020-10-02
2,South America,8186674,42474,258823,1011,7037659,890192,17384,0,0,0,0,2020-10-02
3,Europe,5190359,66509,224040,817,2579467,2386852,8971,0,0,0,0,2020-10-02
4,Africa,1505976,8913,36288,140,1246158,223530,1602,0,0,0,0,2020-10-02
5,Oceania,31411,17,931,2,28682,1798,18,0,0,0,0,2020-10-02
6,,721,0,15,0,651,55,4,0,0,0,0,2020-10-02
7,World,34796176,292904,1032261,5123,25862063,7901852,66249,4464,1324,0,0,2020-10-02
8,USA,7545970,48050,213461,801,4770368,2562141,14201,22763,644,109497745,330315,2020-10-02
9,India,6471734,79774,100873,1069,5424943,945918,8944,4678,73,76717728,55455,2020-10-02
10,Brazil,4882231,33002,145431,664,4232593,504207,8318,22928,683,17900000,84061,2020-10-02
11,Russia,1194643,9412,21077,186,970296,203270,2300,8185,144,46823879,320820,2020-10-02
12,Colombia,841531,6192,26397,201,753953,61181,2220,16494,517,3818824,74851,2020-10-02
13,Peru,818297,0,32535,0,690528,95234,1353,24732,983,3908125,118118,2020-10-02
14,Spain,810807,3722,32086,113,0,0,1566,17340,686,12723989,272116,2020-10-02
15,Argentina,765002,0,20288,0,603140,141574,3799,16887,448,2002975,44216,2020-10-02
16,Mexico,748315,5099,78078,432,537475,132762,2466,5789,604,1968556,15228,2020-10-02
17,South Africa,677833,1749,16909,43,611044,49880,539,11393,284,4229709,71092,2020-10-02
18,France,589653,12148,32155,136,97778,459720,1276,9028,492,11174392,171097,2020-10-02
19,UK,467146,6968,42268,66,0,0,341,6872,622,25048460,368487,2020-10-02
20,Chile,466590,1840,12867,45,439607,14116,868,24355,672,3394522,177189,2020-10-02
21,Iran,464596,3552,26567,187,385264,52765,4137,5514,315,4067861,48276,2020-10-02
22,Iraq,372259,4785,9298,67,299804,63157,562,9204,230,2311962,57164,2020-10-02
23,Bangladesh,366383,1396,5305,33,278627,82451,0,2219,32,1970251,11934,2020-10-02
24,Saudi Arabia,335578,481,4823,29,320348,10407,970,9602,138,6592660,188637,2020-10-02
25,Turkey,321512,1442,8325,63,282657,30530,1455,3802,98,10608664,125447,2020-10-02
26,Italy,319908,2499,35941,23,229970,53997,294,5293,595,11572459,191473,2020-10-02
27,Philippines,316678,2611,5616,56,254617,56445,1758,2880,51,3800150,34564,2020-10-02
28,Pakistan,313431,625,6499,15,298055,8877,480,1412,29,3580173,16130,2020-10-02
29,Germany,298363,2833,9596,10,259500,29267,373,3558,114,16999253,202729,2020-10-02
30,Indonesia,295499,4317,10972,116,221340,63187,0,1077,40,3365490,12272,2020-10-02
31,Israel,258920,5430,1633,11,185122,72165,839,28151,178,3626704,394310,2020-10-02
32,Ukraine,217661,4633,4261,68,96591,116809,177,4985,98,2308415,52865,2020-10-02
33,Canada,162659,2124,9409,90,137614,15636,110,4300,249,7423052,196244,2020-10-02
34,Ecuador,139534,950,11495,62,112296,15743,370,7879,649,446706,25224,2020-10-02
35,Bolivia,135716,405,8001,36,96165,31550,71,11587,683,303107,25878,2020-10-02
36,Romania,132001,2343,4915,53,105582,21504,571,6873,256,2471499,128694,2020-10-02
