index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,17302,361,512,2020-02-03,,,,,,,,
1,Japan,20,0,0,2020-02-03,,,,,,,,
2,Thailand,19,0,7,2020-02-03,,,,,,,,
3,Singapore,18,0,0,2020-02-03,,,,,,,,
4,Hong Kong,15,0,0,2020-02-03,,,,,,,,
5,South Korea,15,0,0,2020-02-03,,,,,,,,
6,Australia,12,0,2,2020-02-03,,,,,,,,
7,U.S.,11,0,0,2020-02-03,,,,,,,,
8,Germany,10,0,0,2020-02-03,,,,,,,,
9,Taiwan,10,0,0,2020-02-03,,,,,,,,
10,Vietnam,8,0,1,2020-02-03,,,,,,,,
11,Macao,8,0,0,2020-02-03,,,,,,,,
12,Malaysia,8,0,0,2020-02-03,,,,,,,,
13,France,6,0,0,2020-02-03,,,,,,,,
14,U.A.E.,5,0,0,2020-02-03,,,,,,,,
15,Canada,4,0,0,2020-02-03,,,,,,,,
16,India,3,0,0,2020-02-03,,,,,,,,
17,Philippines,2,1,0,2020-02-03,,,,,,,,
18,Italy,2,0,0,2020-02-03,,,,,,,,
19,U.K.,2,0,0,2020-02-03,,,,,,,,
20,Russia,2,0,0,2020-02-03,,,,,,,,
21,Finland,1,0,0,2020-02-03,,,,,,,,
22,Sri Lanka,1,0,1,2020-02-03,,,,,,,,
23,Nepal,1,0,0,2020-02-03,,,,,,,,
24,Sweden,1,0,0,2020-02-03,,,,,,,,
25,Cambodia,1,0,0,2020-02-03,,,,,,,,
26,Spain,1,0,0,2020-02-03,,,,,,,,
