index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,758928,34368,39385,2674,73525,646018,14593,0,0,0,0,2020-04-17
1,Europe,1029214,32674,96228,4004,289063,643923,28102,0,0,0,0,2020-04-17
2,Asia,358183,12187,14066,1640,171077,173040,6407,0,0,0,0,2020-04-17
3,South America,72531,4940,3318,261,26856,42357,7574,0,0,0,0,2020-04-17
4,Oceania,8032,66,76,4,4651,3305,64,0,0,0,0,2020-04-17
5,Africa,20420,1427,1020,52,4958,14442,187,0,0,0,0,2020-04-17
6,,721,0,15,0,644,62,7,0,0,0,0,2020-04-17
7,World,2248029,85662,154108,8635,570774,1523147,56934,288,198,0,0,2020-04-17
8,USA,709193,31623,37117,2498,59979,612097,13476,2143,112,3572257,10792,2020-04-17
9,Spain,190839,5891,20002,687,74797,96040,7371,4082,428,930230,19896,2020-04-17
10,Italy,172434,3493,22745,575,42727,106962,2812,2852,376,1244108,20577,2020-04-17
11,France,147969,1909,18681,761,34420,94868,6027,2267,286,463662,7103,2020-04-17
12,Germany,141397,3699,4352,300,83114,53931,5013,1688,52,1728357,20629,2020-04-17
13,UK,108692,5599,14576,847,0,93772,1559,1601,215,438991,6467,2020-04-17
14,Iran,79494,1499,4958,89,54064,20472,3563,946,59,319879,3808,2020-04-17
15,Turkey,78546,4353,1769,126,8631,68146,1845,931,21,558413,6621,2020-04-17
16,Belgium,36138,1329,5163,306,7961,23014,1140,3118,445,139387,12027,2020-04-17
17,Brazil,33682,2999,2141,194,14026,17515,6634,158,10,62985,296,2020-04-17
18,Russia,32008,4070,273,41,2590,29145,8,219,2,1718019,11773,2020-04-17
19,Canada,31642,1536,1310,115,10328,20004,557,838,35,503003,13327,2020-04-17
20,Netherlands,30449,1235,3459,144,250,26740,1279,1777,202,154911,9041,2020-04-17
21,Switzerland,27078,346,1327,46,16400,9351,386,3129,153,206400,23849,2020-04-17
22,Portugal,19022,181,657,28,519,17846,222,1866,64,221049,21678,2020-04-17
23,Austria,14595,119,431,21,9704,4460,227,1621,48,169272,18795,2020-04-17
24,India,14352,922,486,38,2041,11825,0,10,4,335123,243,2020-04-17
25,Ireland,13980,709,530,44,77,13373,156,2831,107,90646,18358,2020-04-17
26,Peru,13489,998,300,26,6541,6648,137,409,9,127513,3867,2020-04-17
27,Sweden,13216,676,1400,67,550,11266,482,1309,139,74600,7387,2020-04-17
28,Israel,12982,224,151,9,3126,9705,168,1500,17,187250,21634,2020-04-17
29,S. Korea,10635,22,230,1,7829,2576,55,207,4,546463,10659,2020-04-17
30,Japan,9787,556,190,0,935,8662,193,77,2,100703,796,2020-04-17
31,Chile,9252,445,116,11,3621,5515,384,484,6,103873,5434,2020-04-17
32,Ecuador,8450,225,421,18,838,7191,168,479,24,27868,1580,2020-04-17
33,Poland,8379,461,332,18,866,7181,160,221,9,179654,4747,2020-04-17
34,Romania,8067,360,411,19,1508,6148,258,419,21,85805,4460,2020-04-17
35,Saudi Arabia,7142,762,87,4,1049,6006,74,205,2,150000,4309,2020-04-17
36,Denmark,7073,194,336,15,3389,3348,93,1221,58,87024,15024,2020-04-17
37,Pakistan,7025,106,135,7,1765,5125,46,32,6,84704,383,2020-04-17
38,Norway,6937,32,161,9,32,6744,63,1280,30,136236,25130,2020-04-17
39,Czechia,6549,116,173,4,1174,5202,82,612,16,154307,14409,2020-04-17
40,Australia,6526,58,65,2,3821,2640,60,256,3,391530,15354,2020-04-17
41,UAE,6302,477,37,2,1188,5077,1,637,4,767000,77550,2020-04-17
42,Mexico,6297,450,486,37,2125,3686,207,49,4,40091,311,2020-04-17
43,Indonesia,5923,407,520,24,607,4796,0,22,2,37134,136,2020-04-17
44,Philippines,5878,218,387,25,487,5004,1,54,4,48171,440,2020-04-17
45,Serbia,5690,372,110,7,534,5046,120,651,13,32566,3727,2020-04-17
46,Malaysia,5251,69,86,2,2967,2198,51,162,3,96695,2988,2020-04-17
47,Singapore,5050,623,11,1,708,4331,22,863,2,94796,16203,2020-04-17
48,Belarus,4779,575,42,2,342,4395,65,506,4,86813,9187,2020-04-17
49,Qatar,4663,560,7,0,464,4192,37,1619,2,58328,20245,2020-04-17
50,Ukraine,4662,501,125,9,246,4291,45,107,3,47096,1077,2020-04-17
51,Dominican Republic,4126,371,200,4,268,3658,146,380,18,13282,1224,2020-04-17
52,Panama,4016,265,109,6,98,3809,99,931,25,17850,4137,2020-04-17
53,Finland,3489,120,82,7,1700,1707,73,630,15,52500,9475,2020-04-17
54,Luxembourg,3480,36,72,3,579,2829,29,5559,115,32394,51749,2020-04-17
