index,country_or_territory_name,total_cases,total_deaths,total_recovered,date,new_cases,new_deaths,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,36778,804,2377,2020-02-08,,,,,,,,
1,Japan,89,0,4,2020-02-08,,,,,,,,
2,Singapore,40,0,2,2020-02-08,,,,,,,,
3,Thailand,32,0,9,2020-02-08,,,,,,,,
4,Hong Kong,26,1,0,2020-02-08,,,,,,,,
5,S. Korea,24,0,2,2020-02-08,,,,,,,,
6,Taiwan,17,0,1,2020-02-08,,,,,,,,
7,Malaysia,16,0,1,2020-02-08,,,,,,,,
8,Australia,15,0,5,2020-02-08,,,,,,,,
9,Germany,14,0,0,2020-02-08,,,,,,,,
10,Vietnam,13,0,3,2020-02-08,,,,,,,,
11,USA,12,0,3,2020-02-08,,,,,,,,
12,France,11,0,0,2020-02-08,,,,,,,,
13,Macao,10,0,1,2020-02-08,,,,,,,,
14,Canada,7,0,0,2020-02-08,,,,,,,,
15,U.A.E.,7,0,0,2020-02-08,,,,,,,,
16,Philippines,3,1,0,2020-02-08,,,,,,,,
17,India,3,0,0,2020-02-08,,,,,,,,
18,Italy,3,0,0,2020-02-08,,,,,,,,
19,U.K.,3,0,0,2020-02-08,,,,,,,,
20,Russia,2,0,0,2020-02-08,,,,,,,,
21,Nepal,1,0,0,2020-02-08,,,,,,,,
22,Cambodia,1,0,1,2020-02-08,,,,,,,,
23,Finland,1,0,1,2020-02-08,,,,,,,,
24,Sri Lanka,1,0,1,2020-02-08,,,,,,,,
25,Sweden,1,0,0,2020-02-08,,,,,,,,
26,Belgium,1,0,0,2020-02-08,,,,,,,,
27,Spain,1,0,0,2020-02-08,,,,,,,,
