index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,214482,25952,5094,1041,8878,200510,5005,648,15,2020-04-01,,
1,Italy,110574,4782,13155,727,16847,80572,4035,1829,218,2020-04-01,,
2,Spain,104118,8195,9387,923,22647,72084,5872,2227,201,2020-04-01,,
3,Germany,77981,6173,931,156,18700,58350,3408,931,11,2020-04-01,,
4,France,56989,4861,4032,509,10935,42022,6017,873,62,2020-04-01,,
5,Iran,47593,2988,3036,138,15473,29084,3871,567,36,2020-04-01,,
6,UK,29474,4324,2352,563,135,26987,163,434,35,2020-04-01,,
7,Switzerland,17768,1163,488,55,2967,14313,348,2053,56,2020-04-01,,
8,Turkey,15679,2148,277,63,333,15069,847,186,3,2020-04-01,,
9,Belgium,13964,1189,828,123,2132,11004,1088,1205,71,2020-04-01,,
10,Netherlands,13614,1019,1173,134,250,12191,1053,795,68,2020-04-01,,
11,Austria,10711,531,146,18,1436,9129,215,1189,16,2020-04-01,,
12,S. Korea,9887,101,165,3,5567,4155,55,193,3,2020-04-01,,
13,Canada,9731,1119,114,13,1736,7881,120,258,3,2020-04-01,,
14,Portugal,8251,808,187,27,43,8021,230,809,18,2020-04-01,,
15,Brazil,6880,1163,242,41,127,6511,296,32,1,2020-04-01,,
16,Israel,6092,734,26,6,241,5825,95,704,3,2020-04-01,,
17,Australia,5048,285,23,3,345,4680,50,198,9,2020-04-01,,
18,Sweden,4947,512,239,59,103,4605,393,490,24,2020-04-01,,
19,Norway,4877,236,44,5,13,4820,105,900,8,2020-04-01,,
20,Czechia,3589,281,39,8,61,3489,70,335,4,2020-04-01,,
21,Ireland,3447,212,85,14,5,3357,103,698,17,2020-04-01,,
22,Denmark,3107,247,104,14,894,2109,145,536,18,2020-04-01,,
23,Chile,3031,293,16,4,234,2781,31,159,8,2020-04-01,,
24,Malaysia,2908,142,45,2,645,2218,102,90,1,2020-04-01,,
25,Russia,2777,440,24,7,190,2563,8,19,2,2020-04-01,,
26,Ecuador,2758,456,98,19,58,2602,100,156,6,2020-04-01,,
27,Poland,2554,243,43,10,56,2455,50,67,1,2020-04-01,,
28,Romania,2460,215,92,10,252,2116,57,128,5,2020-04-01,,
29,Japan,2384,206,57,0,472,1855,69,19,5,2020-04-01,,
30,Luxembourg,2319,141,29,6,80,2210,31,3705,46,2020-04-01,,
31,Philippines,2311,227,96,8,50,2165,1,21,9,2020-04-01,,
32,Pakistan,2118,180,27,1,94,1997,12,10,1,2020-04-01,,
33,India,1998,601,58,23,148,1792,0,1,4,2020-04-01,,
34,Thailand,1771,120,12,2,505,1254,23,25,2,2020-04-01,,
35,Saudi Arabia,1720,157,16,6,264,1440,31,49,5,2020-04-01,,
36,Indonesia,1677,149,157,21,103,1417,0,6,6,2020-04-01,,
37,Finland,1446,28,17,0,10,1419,62,261,3,2020-04-01,,
38,Greece,1415,101,51,2,52,1312,90,136,5,2020-04-01,,
39,South Africa,1380,27,5,0,50,1325,7,23,8,2020-04-01,,
40,Peru,1323,258,38,8,394,891,49,40,1,2020-04-01,,
41,Dominican Republic,1284,175,57,6,9,1218,0,118,5,2020-04-01,,
42,Iceland,1220,85,2,0,236,982,12,3575,6,2020-04-01,,
