index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81218,0,3281,0,73650,4287,1399,56,2020-03-25,,,
1,Italy,74386,5210,7503,683,9362,57521,3489,1230,2020-03-25,,,
2,USA,65652,10796,931,151,394,64327,1411,198,2020-03-25,,,
3,Spain,49515,7457,3647,656,5367,40501,3166,1059,2020-03-25,,,
4,Germany,37323,4332,206,47,3547,33570,23,445,2020-03-25,,,
5,Iran,27017,2206,2077,143,9625,15315,0,322,2020-03-25,,,
6,France,25233,2929,1331,231,3900,20002,2827,387,2020-03-25,,,
7,Switzerland,10897,1020,153,31,131,10613,141,1259,2020-03-25,,,
8,UK,9529,1452,465,43,135,8929,163,140,2020-03-25,,,
9,S. Korea,9137,100,126,6,3730,5281,59,178,2020-03-25,,,
10,Netherlands,6412,852,356,80,3,6053,582,374,2020-03-25,,,
11,Austria,5588,305,30,2,9,5549,28,620,2020-03-25,,,
12,Belgium,4937,668,178,56,547,4212,474,426,2020-03-25,,,
13,Canada,3409,617,36,10,185,3188,1,90,2020-03-25,,,
14,Norway,3084,218,14,2,6,3064,57,569,2020-03-25,,,
15,Portugal,2995,633,43,10,22,2930,61,294,2020-03-25,,,
16,Australia,2676,359,11,3,118,2547,11,105,2020-03-25,,,
17,Brazil,2554,307,59,13,2,2493,18,12,2020-03-25,,,
18,Sweden,2526,227,62,22,16,2448,158,250,2020-03-25,,,
19,Turkey,2433,561,59,15,26,2348,136,29,2020-03-25,,,
20,Israel,2369,439,5,2,58,2306,37,274,2020-03-25,,,
21,Malaysia,1796,172,20,4,199,1577,64,55,2020-03-25,,,
22,Denmark,1724,133,34,2,1,1689,69,298,2020-03-25,,,
23,Czechia,1654,260,6,3,10,1638,19,154,2020-03-25,,,
24,Ireland,1564,235,9,2,5,1550,39,317,2020-03-25,,,
25,Luxembourg,1333,234,8,0,6,1319,3,2129,2020-03-25,,,
26,Japan,1307,114,45,2,310,952,57,10,2020-03-25,,,
27,Ecuador,1173,91,28,1,3,1142,2,66,2020-03-25,,,
28,Chile,1142,220,3,1,22,1117,7,60,2020-03-25,,,
29,Pakistan,1063,91,8,1,21,1034,5,5,2020-03-25,,,
30,Poland,1051,150,14,4,7,1030,3,28,2020-03-25,,,
31,Thailand,934,107,4,0,70,860,11,13,2020-03-25,,,
32,Romania,906,112,17,5,86,803,18,47,2020-03-25,,,
33,Saudi Arabia,900,133,2,1,29,869,0,26,2020-03-25,,,
34,Finland,880,88,3,2,10,867,22,159,2020-03-25,,,
35,Greece,821,78,22,2,36,763,53,79,2020-03-25,,,
36,Indonesia,790,104,58,3,31,701,0,3,2020-03-25,,,
37,Iceland,737,89,2,0,56,679,11,2160,2020-03-25,,,
38,Diamond Princess,712,0,10,0,587,115,15,0,2020-03-25,,,
39,South Africa,709,155,0,0,12,697,2,12,2020-03-25,,,
40,Russia,658,163,3,2,29,626,8,5,2020-03-25,,,
41,India,657,121,12,2,43,602,0,5,2020-03-25,,,
42,Philippines,636,84,38,3,26,572,1,6,2020-03-25,,,
43,Singapore,631,73,2,0,160,469,17,108,2020-03-25,,,
44,Panama,558,115,8,2,2,548,20,129,2020-03-25,,,
45,Qatar,537,11,0,0,41,496,6,186,2020-03-25,,,
46,Slovenia,528,48,5,1,10,513,14,254,2020-03-25,,,
47,Peru,480,64,9,2,1,470,9,15,2020-03-25,,,
48,Colombia,470,92,4,1,8,458,0,9,2020-03-25,,,
49,Egypt,456,54,21,1,95,340,0,4,2020-03-25,,,
50,Croatia,442,60,1,0,22,419,6,108,2020-03-25,,,
51,Bahrain,419,27,4,1,177,238,2,246,2020-03-25,,,
52,Hong Kong,410,23,4,0,102,304,4,55,2020-03-25,,,
53,Mexico,405,38,5,1,4,396,1,3,2020-03-25,,,
54,Estonia,404,35,1,1,8,395,6,305,2020-03-25,,,
55,Dominican Republic,392,80,10,4,3,379,0,36,2020-03-25,,,
56,Argentina,387,0,8,2,52,327,0,9,2020-03-25,,,
57,Serbia,384,81,4,1,15,365,21,44,2020-03-25,,,
58,Iraq,346,30,29,2,103,214,0,9,2020-03-25,,,
59,Lebanon,333,15,6,2,20,307,4,49,2020-03-25,,,
60,UAE,333,85,2,0,52,279,2,34,2020-03-25,,,
61,Algeria,302,38,21,2,65,216,0,7,2020-03-25,,,
62,Lithuania,274,65,4,2,1,269,1,101,2020-03-25,,,
63,Armenia,265,16,0,0,16,249,6,89,2020-03-25,,,
64,Bulgaria,242,24,3,0,4,235,8,35,2020-03-25,,,
65,Taiwan,235,19,2,0,29,204,0,10,2020-03-25,,,
66,Hungary,226,39,10,1,21,195,6,23,2020-03-25,,,
67,Morocco,225,55,6,1,7,212,1,6,2020-03-25,,,
68,Latvia,221,24,0,0,1,220,0,117,2020-03-25,,,
69,Uruguay,217,28,0,0,0,217,3,62,2020-03-25,,,
70,Slovakia,216,12,0,0,7,209,2,40,2020-03-25,,,
71,San Marino,208,21,21,0,4,183,12,6130,2020-03-25,,,
72,New Zealand,205,0,0,0,22,183,0,43,2020-03-25,,,
73,Costa Rica,201,24,2,0,2,197,4,39,2020-03-25,,,
74,Kuwait,195,4,0,0,43,152,6,46,2020-03-25,,,
75,Andorra,188,24,1,0,1,186,6,2433,2020-03-25,,,
76,North Macedonia,177,29,3,1,1,173,1,85,2020-03-25,,,
77,Bosnia and Herzegovina,176,8,3,0,2,171,1,54,2020-03-25,,,
78,Tunisia,173,59,5,1,2,166,11,15,2020-03-25,,,
79,Jordan,172,18,0,0,1,171,0,17,2020-03-25,,,
80,Moldova,149,24,1,0,2,146,20,37,2020-03-25,,,
81,Albania,146,23,5,0,17,124,3,51,2020-03-25,,,
82,Burkina Faso,146,32,4,0,10,132,0,7,2020-03-25,,,
83,Ukraine,145,43,5,2,1,139,0,3,2020-03-25,,,
84,Vietnam,141,7,0,0,17,124,3,1,2020-03-25,,,
85,Cyprus,132,8,3,0,3,126,3,109,2020-03-25,,,
86,Faeroe Islands,132,10,0,0,38,94,2,2701,2020-03-25,,,
87,Malta,129,19,0,0,2,127,1,292,2020-03-25,,,
88,Réunion,111,17,0,0,1,110,0,124,2020-03-25,,,
89,Brunei,109,5,0,0,2,107,1,249,2020-03-25,,,
90,Sri Lanka,102,0,0,0,3,99,2,5,2020-03-25,,,
91,Oman,99,15,0,0,17,82,0,19,2020-03-25,,,
92,Senegal,99,13,0,0,9,90,0,6,2020-03-25,,,
93,Cambodia,96,5,0,0,10,86,1,6,2020-03-25,,,
94,Ghana,93,40,4,2,0,89,0,3,2020-03-25,,,
95,Azerbaijan,93,6,2,1,10,81,6,9,2020-03-25,,,
96,Venezuela,91,7,0,0,15,76,2,3,2020-03-25,,,
97,Belarus,86,5,0,0,29,57,2,9,2020-03-25,,,
98,Afghanistan,84,10,2,1,2,80,0,2,2020-03-25,,,
99,Kazakhstan,81,9,0,0,0,81,0,4,2020-03-25,,,
100,Ivory Coast,80,7,0,0,3,77,0,3,2020-03-25,,,
101,Cameroon,75,9,1,0,2,72,0,3,2020-03-25,,,
102,Georgia,75,5,0,0,10,65,1,19,2020-03-25,,,
103,Guadeloupe,73,0,1,0,0,72,4,182,2020-03-25,,,
104,Palestine,71,11,1,1,16,54,0,14,2020-03-25,,,
105,Martinique,66,9,1,0,0,65,7,176,2020-03-25,,,
106,Trinidad and Tobago,60,3,1,1,0,59,0,43,2020-03-25,,,
107,Uzbekistan,60,10,0,0,0,60,4,2,2020-03-25,,,
108,Cuba,57,9,1,0,1,55,2,5,2020-03-25,,,
109,Montenegro,53,6,1,0,0,52,1,84,2020-03-25,,,
110,Nigeria,51,7,1,0,2,48,0,2,2020-03-25,,,
111,Liechtenstein,51,0,0,0,0,51,0,1338,2020-03-25,,,
112,DRC,48,3,2,0,0,46,0,5,2020-03-25,,,
113,Mauritius,48,6,2,0,0,46,1,38,2020-03-25,,,
114,Channel Islands,46,10,0,0,0,46,0,265,2020-03-25,,,
115,Kyrgyzstan,44,2,0,0,0,44,0,7,2020-03-25,,,
116,Rwanda,41,1,0,0,0,41,0,3,2020-03-25,,,
117,Bangladesh,39,0,5,1,7,27,0,2,2020-03-25,,,
118,Paraguay,37,10,3,1,0,34,1,5,2020-03-25,,,
119,Honduras,36,6,0,0,0,36,0,4,2020-03-25,,,
120,Mayotte,36,0,0,0,0,36,0,132,2020-03-25,,,
121,Bolivia,32,3,0,0,0,32,0,3,2020-03-25,,,
122,Monaco,31,8,0,0,1,30,0,790,2020-03-25,,,
123,Macao,30,1,0,0,10,20,0,46,2020-03-25,,,
124,French Guiana,28,5,0,0,6,22,0,94,2020-03-25,,,
125,Kenya,28,3,0,0,1,27,0,5,2020-03-25,,,
126,Jamaica,26,5,1,0,2,23,0,9,2020-03-25,,,
127,Gibraltar,26,11,0,0,5,21,0,772,2020-03-25,,,
128,French Polynesia,25,0,0,0,0,25,0,89,2020-03-25,,,
129,Guatemala,24,3,1,0,4,19,0,1,2020-03-25,,,
130,Isle of Man,23,0,0,0,0,23,0,270,2020-03-25,,,
131,Togo,23,3,0,0,1,22,0,3,2020-03-25,,,
132,Madagascar,19,2,0,0,0,19,0,7,2020-03-25,,,
133,Barbados,18,0,0,0,0,18,0,63,2020-03-25,,,
134,Aruba,17,0,0,0,1,16,0,159,2020-03-25,,,
135,New Caledonia,14,4,0,0,0,14,0,49,2020-03-25,,,
136,Uganda,14,5,0,0,0,14,0,3,2020-03-25,,,
137,Maldives,13,0,0,0,8,5,0,24,2020-03-25,,,
138,Ethiopia,12,0,0,0,0,12,0,1,2020-03-25,,,
139,Tanzania,12,0,0,0,0,12,0,2,2020-03-25,,,
140,Zambia,12,9,0,0,0,12,0,7,2020-03-25,,,
141,Djibouti,11,8,0,0,0,11,0,11,2020-03-25,,,
142,Saint Martin,11,3,0,0,0,11,0,284,2020-03-25,,,
143,Mongolia,10,0,0,0,0,10,0,3,2020-03-25,,,
144,El Salvador,9,4,0,0,0,9,0,1,2020-03-25,,,
145,Equatorial Guinea,9,0,0,0,0,9,0,6,2020-03-25,,,
146,Cayman Islands,8,2,1,0,0,7,0,122,2020-03-25,,,
147,Haiti,8,1,0,0,0,8,0,7,2020-03-25,,,
148,Suriname,8,1,0,0,0,8,0,14,2020-03-25,,,
149,Niger,7,4,1,1,0,6,0,3,2020-03-25,,,
150,Bermuda,7,1,0,0,0,7,0,112,2020-03-25,,,
151,Dominica,7,0,0,0,0,7,0,97,2020-03-25,,,
152,Namibia,7,0,0,0,2,5,0,3,2020-03-25,,,
153,Seychelles,7,0,0,0,0,7,0,71,2020-03-25,,,
154,Curaçao,6,0,1,0,2,3,0,37,2020-03-25,,,
155,Gabon,6,0,1,0,0,5,0,3,2020-03-25,,,
156,Benin,6,0,0,0,0,6,0,5,2020-03-25,,,
157,Greenland,6,1,0,0,2,4,0,106,2020-03-25,,,
158,Guyana,5,0,1,0,0,4,0,6,2020-03-25,,,
159,Bahamas,5,0,0,0,1,4,0,13,2020-03-25,,,
160,Fiji,5,1,0,0,0,5,0,6,2020-03-25,,,
161,Mozambique,5,2,0,0,0,5,0,2,2020-03-25,,,
162,Syria,5,4,0,0,0,5,0,3,2020-03-25,,,
163,Cabo Verde,4,1,1,0,0,3,0,7,2020-03-25,,,
164,Congo,4,0,0,0,0,4,0,7,2020-03-25,,,
165,Eritrea,4,3,0,0,0,4,0,1,2020-03-25,,,
166,Guinea,4,0,0,0,0,4,0,3,2020-03-25,,,
167,Vatican City,4,0,0,0,0,4,0,4994,2020-03-25,,,
168,Eswatini,4,0,0,0,0,4,0,3,2020-03-25,,,
169,Gambia,3,0,1,0,0,2,0,1,2020-03-25,,,
170,Sudan,3,0,1,0,0,2,0,7,2020-03-25,,,
171,Zimbabwe,3,0,1,0,0,2,0,2,2020-03-25,,,
172,Nepal,3,1,0,0,1,2,0,1,2020-03-25,,,
173,Angola,3,0,0,0,0,3,0,9,2020-03-25,,,
174,Antigua and Barbuda,3,0,0,0,0,3,0,31,2020-03-25,,,
175,CAR,3,0,0,0,0,3,0,6,2020-03-25,,,
176,Chad,3,0,0,0,0,3,0,2,2020-03-25,,,
177,Laos,3,1,0,0,0,3,0,4,2020-03-25,,,
178,Liberia,3,0,0,0,0,3,0,6,2020-03-25,,,
179,Myanmar,3,0,0,0,0,3,0,6,2020-03-25,,,
180,St. Barth,3,0,0,0,0,3,0,304,2020-03-25,,,
181,Saint Lucia,3,0,0,0,0,3,0,16,2020-03-25,,,
182,Sint Maarten,3,1,0,0,0,3,0,70,2020-03-25,,,
183,Belize,2,1,0,0,0,2,0,5,2020-03-25,,,
184,Bhutan,2,0,0,0,0,2,0,3,2020-03-25,,,
185,British Virgin Islands,2,2,0,0,0,2,0,66,2020-03-25,,,
186,Guinea-Bissau,2,2,0,0,0,2,0,1,2020-03-25,,,
187,Mali,2,2,0,0,0,2,0,10,2020-03-25,,,
188,Mauritania,2,0,0,0,0,2,0,4,2020-03-25,,,
189,Nicaragua,2,0,0,0,0,2,0,3,2020-03-25,,,
190,Saint Kitts and Nevis,2,2,0,0,0,2,0,38,2020-03-25,,,
191,Grenada,1,0,0,0,0,1,0,9,2020-03-25,,,
192,Libya,1,0,0,0,0,1,0,1,2020-03-25,,,
193,Montserrat,1,0,0,0,0,1,0,200,2020-03-25,,,
