index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,70542,2042,1765,100,10728,11272,2020-02-16,,,,,
1,Japan,414,76,1,0,17,9,2020-02-16,,,,,
2,Singapore,75,3,0,0,19,5,2020-02-16,,,,,
3,Hong Kong,57,1,1,0,2,7,2020-02-16,,,,,
4,Thailand,34,0,0,0,14,2,2020-02-16,,,,,
5,S. Korea,29,1,0,0,9,0,2020-02-16,,,,,
6,Malaysia,22,0,0,0,8,0,2020-02-16,,,,,
7,Taiwan,20,2,1,1,2,0,2020-02-16,,,,,
8,Germany,16,0,0,0,3,0,2020-02-16,,,,,
9,Vietnam,16,0,0,0,7,0,2020-02-16,,,,,
10,Australia,15,0,0,0,10,0,2020-02-16,,,,,
11,USA,15,0,0,0,3,0,2020-02-16,,,,,
12,France,12,0,1,0,4,0,2020-02-16,,,,,
13,Macao,10,0,0,0,5,0,2020-02-16,,,,,
14,U.A.E.,9,1,0,0,3,1,2020-02-16,,,,,
15,U.K.,9,0,0,0,8,0,2020-02-16,,,,,
16,Canada,8,0,0,0,1,0,2020-02-16,,,,,
17,Philippines,3,0,1,0,2,0,2020-02-16,,,,,
18,Italy,3,0,0,0,0,2,2020-02-16,,,,,
19,India,3,0,0,0,3,0,2020-02-16,,,,,
20,Russia,2,0,0,0,2,0,2020-02-16,,,,,
21,Spain,2,0,0,0,2,0,2020-02-16,,,,,
22,Egypt,1,0,0,0,0,0,2020-02-16,,,,,
23,Cambodia,1,0,0,0,1,0,2020-02-16,,,,,
24,Sweden,1,0,0,0,0,0,2020-02-16,,,,,
25,Nepal,1,0,0,0,1,0,2020-02-16,,,,,
26,Belgium,1,0,0,0,1,0,2020-02-16,,,,,
27,Sri Lanka,1,0,0,0,1,0,2020-02-16,,,,,
28,Finland,1,0,0,0,1,0,2020-02-16,,,,,
