index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81285,0,3287,0,74051,3947,1235,56,2020-03-26,,,
1,USA,83672,15461,1209,182,1864,80599,2122,253,2020-03-26,,,
2,Italy,80589,6203,8215,712,10361,62013,3612,1333,2020-03-26,,,
3,Spain,57786,8271,4365,718,7015,46406,3166,1236,2020-03-26,,,
4,Germany,43938,6615,267,61,5673,37998,23,524,2020-03-26,,,
5,Iran,29406,2389,2234,157,10457,16715,2746,350,2020-03-26,,,
6,France,29155,3922,1696,365,4948,22511,3375,447,2020-03-26,,,
7,Switzerland,11811,914,191,38,131,11489,141,1365,2020-03-26,,,
8,UK,11658,2129,578,115,135,10945,163,172,2020-03-26,,,
9,S. Korea,9241,104,131,5,4144,4966,59,180,2020-03-26,,,
10,Netherlands,7431,1019,434,78,3,6994,761,434,2020-03-26,,,
11,Austria,6909,1321,49,18,112,6748,96,767,2020-03-26,,,
12,Belgium,6235,1298,220,42,675,5340,605,538,2020-03-26,,,
13,Canada,4043,634,39,3,228,3776,120,107,2020-03-26,,,
14,Turkey,3629,1196,75,16,26,3528,136,43,2020-03-26,,,
15,Portugal,3544,549,60,17,43,3441,61,348,2020-03-26,,,
16,Norway,3369,285,14,0,6,3349,70,621,2020-03-26,,,
17,Australia,2996,320,13,2,170,2813,11,117,2020-03-26,,,
18,Brazil,2985,431,77,18,6,2902,18,14,2020-03-26,,,
19,Sweden,2840,314,77,15,16,2747,176,281,2020-03-26,,,
20,Israel,2693,324,8,3,68,2617,46,311,2020-03-26,,,
21,Malaysia,2031,235,23,3,215,1793,45,63,2020-03-26,,,
22,Czechia,1925,271,9,3,10,1906,34,180,2020-03-26,,,
23,Denmark,1877,153,41,7,1,1835,94,324,2020-03-26,,,
24,Ireland,1819,255,19,10,5,1795,47,368,2020-03-26,,,
25,Luxembourg,1453,120,9,1,6,1438,3,2321,2020-03-26,,,
26,Ecuador,1403,192,34,5,3,1366,58,80,2020-03-26,,,
27,Japan,1387,80,47,2,359,981,57,11,2020-03-26,,,
28,Chile,1306,164,4,1,22,1280,7,68,2020-03-26,,,
29,Poland,1221,170,16,2,7,1198,3,32,2020-03-26,,,
30,Pakistan,1201,138,9,1,21,1171,5,5,2020-03-26,,,
31,Thailand,1045,111,4,0,88,953,4,15,2020-03-26,,,
32,Romania,1029,123,23,6,94,912,29,53,2020-03-26,,,
