index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,70553,2053,1771,106,11158,11272,2020-02-17,,,,,
1,Cruise Ship,454,99,0,0,17,19,2020-02-17,,,,,
2,Singapore,75,0,0,0,19,5,2020-02-17,,,,,
3,Japan,65,6,1,0,17,19,2020-02-17,,,,,
4,Hong Kong,58,1,1,0,2,7,2020-02-17,,,,,
5,Thailand,35,1,0,0,15,2,2020-02-17,,,,,
6,S. Korea,30,1,0,0,10,0,2020-02-17,,,,,
7,Malaysia,22,0,0,0,8,0,2020-02-17,,,,,
8,Taiwan,20,0,1,0,2,0,2020-02-17,,,,,
9,Vietnam,16,0,0,0,7,0,2020-02-17,,,,,
10,Germany,16,0,0,0,3,0,2020-02-17,,,,,
11,USA,15,0,0,0,3,0,2020-02-17,,,,,
12,Australia,15,0,0,0,10,0,2020-02-17,,,,,
13,France,12,0,1,0,4,0,2020-02-17,,,,,
14,Macao,10,0,0,0,5,0,2020-02-17,,,,,
15,U.K.,9,0,0,0,8,0,2020-02-17,,,,,
16,U.A.E.,9,0,0,0,3,1,2020-02-17,,,,,
17,Canada,8,0,0,0,1,0,2020-02-17,,,,,
18,Philippines,3,0,1,0,2,0,2020-02-17,,,,,
19,Italy,3,0,0,0,0,2,2020-02-17,,,,,
20,India,3,0,0,0,3,0,2020-02-17,,,,,
21,Russia,2,0,0,0,2,0,2020-02-17,,,,,
22,Spain,2,0,0,0,2,0,2020-02-17,,,,,
23,Cambodia,1,0,0,0,1,0,2020-02-17,,,,,
24,Sweden,1,0,0,0,0,0,2020-02-17,,,,,
25,Nepal,1,0,0,0,1,0,2020-02-17,,,,,
26,Belgium,1,0,0,0,1,0,2020-02-17,,,,,
27,Sri Lanka,1,0,0,0,1,0,2020-02-17,,,,,
28,Finland,1,0,0,0,1,0,2020-02-17,,,,,
29,Egypt,1,0,0,0,0,0,2020-02-17,,,,,
