index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,123271,19145,2202,506,3231,117838,2666,372,7,2020-03-28,,
1,Italy,92472,5974,10023,889,12384,70065,3856,1529,166,2020-03-28,,
2,Spain,73235,7516,5982,844,12285,54968,4165,1566,128,2020-03-28,,
3,Germany,57695,6824,433,82,8481,48781,1581,689,5,2020-03-28,,
4,France,37575,4611,2314,319,5700,29561,4273,576,35,2020-03-28,,
5,Iran,35408,3076,2517,139,11679,21212,3206,422,30,2020-03-28,,
6,UK,17089,2546,1019,260,135,15935,163,252,15,2020-03-28,,
7,Switzerland,14076,1148,264,33,1530,12282,301,1626,31,2020-03-28,,
8,Netherlands,9762,1159,639,93,3,9120,914,570,37,2020-03-28,,
9,S. Korea,9478,146,144,5,4811,4523,59,185,3,2020-03-28,,
10,Belgium,9134,1850,353,64,1063,7718,789,788,30,2020-03-28,,
11,Austria,8271,574,68,10,225,7978,135,918,8,2020-03-28,,
12,Turkey,7402,1704,108,16,70,7224,445,88,1,2020-03-28,,
13,Canada,5655,898,60,5,396,5199,120,150,2,2020-03-28,,
14,Portugal,5170,902,100,24,43,5027,89,507,10,2020-03-28,,
15,Norway,4015,244,23,4,7,3985,84,741,4,2020-03-28,,
16,Brazil,3904,487,114,22,6,3784,296,18,5,2020-03-28,,
17,Australia,3635,257,14,1,170,3451,23,143,5,2020-03-28,,
18,Israel,3619,584,12,0,89,3518,50,418,1,2020-03-28,,
19,Sweden,3447,378,105,0,16,3326,239,341,10,2020-03-28,,
20,Czechia,2631,352,11,2,11,2609,250,246,1,2020-03-28,,
21,Ireland,2415,294,36,14,5,2374,59,489,7,2020-03-28,,
22,Malaysia,2320,159,27,1,320,1973,54,72,8,2020-03-28,,
23,Denmark,2201,155,65,13,1,2135,109,380,11,2020-03-28,,
24,Chile,1909,299,6,1,61,1842,7,100,3,2020-03-28,,
25,Luxembourg,1831,226,18,3,40,1773,25,2925,29,2020-03-28,,
26,Ecuador,1823,196,48,7,3,1772,58,103,3,2020-03-28,,
27,Japan,1693,194,52,3,404,1237,56,13,4,2020-03-28,,
28,Poland,1638,249,18,2,7,1613,3,43,5,2020-03-28,,
29,Pakistan,1495,122,12,1,29,1454,7,7,5,2020-03-28,,
30,Romania,1452,160,37,11,139,1276,34,75,2,2020-03-28,,
31,Russia,1264,228,4,0,49,1211,8,9,3,2020-03-28,,
32,Thailand,1245,109,6,1,97,1142,11,18,9,2020-03-28,,
33,Saudi Arabia,1203,99,4,1,37,1162,6,35,1,2020-03-28,,
34,South Africa,1187,17,1,0,31,1155,7,20,2,2020-03-28,,
35,Finland,1167,126,9,2,10,1148,32,211,2,2020-03-28,,
36,Indonesia,1155,109,102,15,59,994,0,4,4,2020-03-28,,
37,Philippines,1075,272,68,14,35,972,1,10,6,2020-03-28,,
38,Greece,1061,95,32,4,52,977,66,102,3,2020-03-28,,
39,India,987,100,24,4,84,879,0,7,2,2020-03-28,,
40,Iceland,963,73,2,0,114,847,18,2822,6,2020-03-28,,
41,Singapore,802,70,2,0,198,602,19,137,3,2020-03-28,,
42,Panama,786,0,14,0,2,770,20,182,3,2020-03-28,,
43,Dominican Republic,719,138,28,8,3,688,0,66,3,2020-03-28,,
44,Mexico,717,132,12,4,4,701,1,6,9,2020-03-28,,
45,Diamond Princess,712,0,10,0,597,105,15,0,0,2020-03-28,,
46,Argentina,690,101,18,5,72,600,0,15,4,2020-03-28,,
47,Slovenia,684,52,9,0,10,665,25,329,4,2020-03-28,,
48,Peru,671,36,16,5,16,639,33,20,5,2020-03-28,,
49,Serbia,659,131,10,2,42,607,25,75,1,2020-03-28,,
50,Croatia,657,71,5,2,45,607,14,160,1,2020-03-28,,
51,Estonia,645,70,1,0,20,624,10,486,8,2020-03-28,,
52,Colombia,608,69,6,0,10,592,0,12,1,2020-03-28,,
53,Qatar,590,28,1,1,45,544,6,205,3,2020-03-28,,
54,Egypt,576,40,36,6,121,419,0,6,4,2020-03-28,,
55,Hong Kong,560,41,4,0,112,444,5,75,5,2020-03-28,,
56,Iraq,506,48,42,2,131,333,0,13,1,2020-03-28,,
57,Bahrain,476,10,4,0,265,207,1,280,2,2020-03-28,,
58,UAE,468,63,2,0,52,414,2,47,2,2020-03-28,,
59,Algeria,454,45,29,3,31,394,0,10,7,2020-03-28,,
60,New Zealand,451,83,0,0,50,401,2,94,0,2020-03-28,,
61,Lebanon,412,21,8,0,30,374,4,60,1,2020-03-28,,
62,Armenia,407,78,1,0,30,376,6,137,3,2020-03-28,,
63,Morocco,402,57,25,2,12,365,1,11,7,2020-03-28,,
64,Lithuania,394,36,7,2,1,386,2,145,3,2020-03-28,,
65,Ukraine,356,46,9,4,5,342,0,8,2,2020-03-28,,
66,Hungary,343,43,11,1,34,298,6,36,1,2020-03-28,,
67,Bulgaria,331,38,7,4,11,313,8,48,1,2020-03-28,,
68,Andorra,308,41,3,0,1,304,10,3986,39,2020-03-28,,
69,Latvia,305,25,0,0,1,304,3,162,0,2020-03-28,,
70,Costa Rica,295,32,2,0,3,290,6,58,4,2020-03-28,,
71,Slovakia,292,23,0,0,2,290,1,53,0,2020-03-28,,
72,Taiwan,283,16,2,0,30,251,0,12,8,2020-03-28,,
73,Tunisia,278,51,8,1,2,268,10,24,7,2020-03-28,,
74,Bosnia and Herzegovina,278,41,6,2,8,264,1,85,2,2020-03-28,,
75,Uruguay,274,36,0,0,0,274,8,79,0,2020-03-28,,
76,Jordan,246,11,1,0,18,227,3,24,10,2020-03-28,,
77,North Macedonia,241,22,4,1,3,234,1,116,2,2020-03-28,,
78,Kuwait,235,10,0,0,64,171,11,55,0,2020-03-28,,
79,Moldova,231,32,2,0,2,227,33,57,5,2020-03-28,,
80,Kazakhstan,228,78,1,0,16,211,0,12,5,2020-03-28,,
81,San Marino,224,1,22,1,6,196,16,6602,648,2020-03-28,,
