index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,active_cases,total_recovered,serious_critical,date,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80576,24,3042,0,23605,53929,5737,2020-03-06,,,,
1,S. Korea,6593,309,43,1,6415,135,52,2020-03-06,,,,
2,Iran,4747,1234,124,16,3710,913,0,2020-03-06,,,,
3,Italy,4636,778,197,49,3916,523,462,2020-03-06,,,,
4,Diamond Princess,696,0,6,0,478,212,34,2020-03-06,,,,
5,Germany,670,125,0,0,653,17,8,2020-03-06,,,,
6,France,653,230,9,2,632,12,23,2020-03-06,,,,
7,Japan,420,56,6,0,368,46,34,2020-03-06,,,,
8,Spain,400,118,8,5,389,3,9,2020-03-06,,,,
9,USA,272,51,15,3,242,15,8,2020-03-06,,,,
10,Switzerland,214,94,1,0,210,3,0,2020-03-06,,,,
11,UK,164,48,2,1,144,18,0,2020-03-06,,,,
12,Sweden,137,43,0,0,136,1,0,2020-03-06,,,,
13,Singapore,130,13,0,0,48,82,9,2020-03-06,,,,
14,Netherlands,128,46,1,1,127,0,1,2020-03-06,,,,
15,Norway,127,33,0,0,126,1,0,2020-03-06,,,,
16,Belgium,109,59,0,0,108,1,1,2020-03-06,,,,
17,Hong Kong,108,3,2,0,55,51,6,2020-03-06,,,,
18,Malaysia,83,28,0,0,60,23,0,2020-03-06,,,,
19,Austria,66,23,0,0,64,2,1,2020-03-06,,,,
20,Australia,63,3,2,0,39,22,1,2020-03-06,,,,
21,Bahrain,60,5,0,0,56,4,0,2020-03-06,,,,
22,Kuwait,58,0,0,0,57,1,0,2020-03-06,,,,
23,Canada,51,14,0,0,43,8,1,2020-03-06,,,,
24,Iraq,48,8,4,1,43,1,0,2020-03-06,,,,
25,Thailand,48,1,1,0,16,31,1,2020-03-06,,,,
26,Taiwan,45,1,1,0,29,15,0,2020-03-06,,,,
27,Greece,45,14,0,0,45,0,1,2020-03-06,,,,
28,UAE,45,17,0,0,40,5,2,2020-03-06,,,,
29,Iceland,43,8,0,0,43,0,0,2020-03-06,,,,
30,India,31,1,0,0,28,3,0,2020-03-06,,,,
31,San Marino,23,2,1,0,22,0,4,2020-03-06,,,,
32,Denmark,23,3,0,0,22,1,0,2020-03-06,,,,
33,Lebanon,22,6,0,0,22,0,1,2020-03-06,,,,
34,Israel,21,4,0,0,19,2,0,2020-03-06,,,,
35,Czechia,19,7,0,0,19,0,0,2020-03-06,,,,
36,Ireland,18,5,0,0,18,0,0,2020-03-06,,,,
37,Algeria,17,0,0,0,17,0,0,2020-03-06,,,,
38,Vietnam,17,1,0,0,1,16,0,2020-03-06,,,,
39,Oman,16,0,0,0,14,2,0,2020-03-06,,,,
40,Palestine,16,9,0,0,16,0,0,2020-03-06,,,,
