index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,2608739,34534,150319,1540,1151106,1307314,19299,0,0,0,0,2020-06-18
1,South America,1626198,35840,66905,1837,886003,673290,12229,0,0,0,0,2020-06-18
2,Europe,2268136,16400,185235,576,1219133,863768,6400,0,0,0,0,2020-06-18
3,Asia,1775302,42109,45455,897,1114524,615323,16025,0,0,0,0,2020-06-18
4,Africa,278677,8017,7450,201,128347,142880,506,0,0,0,0,2020-06-18
5,Oceania,9005,22,124,0,8466,415,2,0,0,0,0,2020-06-18
6,,721,0,15,0,651,55,4,0,0,0,0,2020-06-18
7,World,8566778,136922,455503,5051,4508230,3603045,54465,1099,584,0,0,2020-06-18
8,USA,2262100,26373,120632,691,929756,1211712,16493,6836,365,26723015,80750,2020-06-18
9,Brazil,983359,23050,47869,1204,503507,431983,8318,4627,225,1761482,8289,2020-06-18
10,Russia,561091,7790,7660,182,313963,239468,2300,3845,52,15679724,107445,2020-06-18
11,India,381091,13827,12604,342,205182,163305,8944,276,9,6249668,4530,2020-06-18
12,UK,300469,1218,42288,135,0,0,379,4427,623,7259555,106957,2020-06-18
13,Spain,292348,585,27136,0,0,0,617,6253,580,4826516,103232,2020-06-18
14,Peru,244388,3480,7461,204,131190,105737,1130,7416,226,1439767,43691,2020-06-18
15,Italy,238159,331,34514,66,180544,23101,168,3939,571,4831562,79907,2020-06-18
16,Chile,225103,4475,3841,226,186441,34821,1845,11779,201,903166,47261,2020-06-18
17,Iran,197647,2596,9272,87,156991,31384,2795,2354,110,1344599,16017,2020-06-18
18,Germany,190126,622,8946,19,174100,7080,396,2269,107,5029696,60038,2020-06-18
19,Turkey,184031,1304,4882,21,156022,23127,755,2183,58,2822316,33478,2020-06-18
20,Pakistan,160118,5358,3093,118,59215,97810,111,725,14,982012,4449,2020-06-18
21,Mexico,159793,4930,19080,770,119355,21358,378,1240,148,441670,3427,2020-06-18
22,France,158641,467,29603,28,73887,55151,752,2431,454,1384633,21214,2020-06-18
23,Saudi Arabia,145991,4757,1139,48,93915,50937,1877,4196,33,1198273,34441,2020-06-18
24,Bangladesh,102292,3803,1343,38,40164,60785,1,621,8,570503,3465,2020-06-18
25,Canada,100220,367,8300,46,62496,29424,1982,2656,220,2254481,59753,2020-06-18
