index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1543892,25451,93133,1886,364244,1086515,17647,0,0,0,0,2020-05-12
1,Europe,1675742,22730,155762,1842,685246,834734,13420,0,0,0,0,2020-05-12
2,South America,335624,15507,18108,1092,119716,197800,10109,0,0,0,0,2020-05-12
3,Asia,701532,17860,22851,391,394375,284306,4922,0,0,0,0,2020-05-12
4,Africa,70940,3162,2406,51,24802,43732,222,0,0,0,0,2020-05-12
5,Oceania,8565,16,118,0,7725,722,19,0,0,0,0,2020-05-12
6,,721,0,15,0,651,55,4,0,0,0,0,2020-05-12
7,World,4337016,84726,292393,5262,1596759,2447864,46343,556,375,0,0,2020-05-12
8,USA,1408073,22239,83368,1573,295777,1028928,16473,4254,252,9940830,30032,2020-05-12
9,Spain,269520,1377,26920,176,180470,62130,1534,5765,576,2467761,52781,2020-05-12
10,Russia,232243,10899,2116,107,43512,186615,2300,1591,14,5805404,39781,2020-05-12
11,UK,226463,3403,32692,627,0,193427,1559,3336,482,2007146,29566,2020-05-12
12,Italy,221216,1402,30911,172,109039,81266,952,3659,511,2673655,44221,2020-05-12
13,France,178225,802,26991,348,57785,93449,2542,2730,414,1384633,21213,2020-05-12
14,Brazil,177602,8459,12404,779,72597,92601,8318,836,58,735224,3459,2020-05-12
15,Germany,173171,595,7738,77,147200,18233,1539,2067,92,2755770,32891,2020-05-12
16,Turkey,141475,1704,3894,53,98889,38692,1045,1677,46,1440671,17082,2020-05-12
17,Iran,110767,1481,6733,48,88357,15677,2713,1319,80,615477,7328,2020-05-12
18,India,74292,3524,2415,121,24420,47457,0,54,2,1759579,1275,2020-05-12
19,Peru,72059,3237,2057,96,23324,46678,797,2185,62,532169,16140,2020-05-12
20,Canada,71157,1176,5169,176,34042,31946,502,1885,137,1135984,30099,2020-05-12
21,Belgium,53779,330,8761,54,13732,31286,465,4640,756,595531,51385,2020-05-12
22,Netherlands,42984,196,5510,54,0,37224,463,2509,322,270351,15778,2020-05-12
23,Saudi Arabia,42925,1911,264,9,15257,27404,147,1233,8,482374,13856,2020-05-12
24,Mexico,36327,1305,3573,108,23100,9654,378,282,28,135116,1048,2020-05-12
25,Pakistan,32674,1733,724,57,8555,23395,111,148,3,305851,1385,2020-05-12
26,Chile,31721,1658,335,12,14125,17261,494,1659,18,303340,15868,2020-05-12
27,Ecuador,30419,910,2327,182,3433,24659,181,1724,132,85223,4830,2020-05-12
28,Switzerland,30380,36,1867,22,26800,1713,89,3510,216,316852,36611,2020-05-12
29,Portugal,27913,234,1163,19,3013,23737,113,2737,114,553855,54317,2020-05-12
