index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,7783099,44794,283817,1934,4693123,2806159,18623,0,0,0,0,2020-09-09
1,Asia,8100502,124480,157216,1765,6538103,1405183,19228,0,0,0,0,2020-09-09
2,South America,6847598,51914,222053,1675,5563064,1062481,15017,0,0,0,0,2020-09-09
3,Europe,3908602,40421,211149,401,2198138,1499315,6210,0,0,0,0,2020-09-09
4,Africa,1328263,8365,31993,192,1063650,232620,1468,0,0,0,0,2020-09-09
5,Oceania,29609,120,812,11,25311,3486,35,0,0,0,0,2020-09-09
6,,721,0,15,0,651,55,4,0,0,0,0,2020-09-09
7,World,27998394,270094,907055,5978,20082040,7009299,60585,3592,1164,0,0,2020-09-09
8,USA,6548332,34101,195184,1154,3840082,2513066,14538,19761,589,89256999,269355,2020-09-09
9,India,4462965,95529,75091,1168,3466819,921055,8944,3228,54,51804677,37470,2020-09-09
10,Brazil,4199332,34208,128653,1136,3453336,617343,8318,19729,604,14408116,67692,2020-09-09
11,Russia,1041007,5218,18135,142,856458,166414,2300,7133,124,39289176,269203,2020-09-09
12,Peru,702776,6586,30236,113,536959,135581,1476,21259,915,3428910,103725,2020-09-09
13,Colombia,686856,7343,22053,236,552885,111918,863,13472,433,3028754,59405,2020-09-09
14,Mexico,642860,5351,68484,703,451159,123217,3030,4976,530,1450397,11227,2020-09-09
15,South Africa,642431,1990,15168,82,569935,57328,539,10806,255,3842898,64642,2020-09-09
16,Spain,543379,8866,29628,34,0,0,1051,11621,634,9987326,213595,2020-09-09
17,Argentina,500034,0,10457,52,382490,107087,2719,11045,231,1458619,32217,2020-09-09
18,Chile,427027,1486,11702,20,399555,15770,942,22302,611,2691374,140562,2020-09-09
19,Iran,393425,2313,22669,127,339111,31645,3735,4673,269,3431646,40759,2020-09-09
20,UK,355219,2659,41594,8,0,0,80,5227,612,17619897,259291,2020-09-09
21,France,344101,8577,30794,30,88524,224783,599,5269,472,8500000,130166,2020-09-09
22,Bangladesh,331078,1827,4593,41,230804,95681,0,2007,28,1674452,10148,2020-09-09
23,Saudi Arabia,323012,775,4165,28,298966,19881,1386,9251,119,5548202,158907,2020-09-09
24,Pakistan,299659,426,6359,9,286506,6794,544,1352,29,2825040,12744,2020-09-09
25,Turkey,284943,1673,6837,55,254188,23918,1181,3372,81,8105222,95908,2020-09-09
