index,country_or_territory_name,total_cases,total_deaths,date,new_cases,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,8123,170,2020-01-30,,,,,,,,,
1,Thailand,14,0,2020-01-30,,,,,,,,,
2,Hong Kong,11,0,2020-01-30,,,,,,,,,
3,Taiwan,9,0,2020-01-30,,,,,,,,,
4,Macau,7,0,2020-01-30,,,,,,,,,
5,Malaysia,8,0,2020-01-30,,,,,,,,,
6,Singapore,13,0,2020-01-30,,,,,,,,,
7,Japan,14,0,2020-01-30,,,,,,,,,
8,Australia,9,0,2020-01-30,,,,,,,,,
9,United States,6,0,2020-01-30,,,,,,,,,
10,South Korea,6,0,2020-01-30,,,,,,,,,
11,France,5,0,2020-01-30,,,,,,,,,
12,Germany,4,0,2020-01-30,,,,,,,,,
13,Canada,3,0,2020-01-30,,,,,,,,,
14,Vietnam,5,0,2020-01-30,,,,,,,,,
15,Cambodia,1,0,2020-01-30,,,,,,,,,
16,Nepal,1,0,2020-01-30,,,,,,,,,
17,United Arab Emirates,4,0,2020-01-30,,,,,,,,,
18,Finland,1,0,2020-01-30,,,,,,,,,
19,Philippines,1,0,2020-01-30,,,,,,,,,
20,India,1,0,2020-01-30,,,,,,,,,
21,Sri Lanka,1,0,2020-01-30,,,,,,,,,
