index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1683949,23641,102914,1252,431269,1149766,17512,0,0,0,0,2020-05-17
1,Europe,1780768,19416,162839,1167,769709,848220,11604,0,0,0,0,2020-05-17
2,South America,440182,15635,23117,711,153379,263686,10426,0,0,0,0,2020-05-17
3,Asia,798308,20228,24733,431,458731,314844,4973,0,0,0,0,2020-05-17
4,Africa,86376,3013,2777,51,33484,50115,288,0,0,0,0,2020-05-17
5,Oceania,8648,10,119,0,7900,629,16,0,0,0,0,2020-05-17
6,,721,0,15,0,651,55,4,0,0,0,0,2020-05-17
7,World,4798952,81943,316514,3612,1855123,2627315,44823,616,406,0,0,2020-05-17
8,USA,1527352,19579,90973,860,344952,1091427,16355,4618,275,11832270,35773,2020-05-17
9,Russia,281752,9709,2631,94,67373,211748,2300,1931,18,6916088,47394,2020-05-17
10,Spain,277719,1214,27650,87,195945,54124,1152,5940,591,3037840,64977,2020-05-17
11,UK,243695,3534,34636,170,0,0,1559,3592,511,2580769,38041,2020-05-17
12,Brazil,241080,7938,16118,485,94122,130840,8318,1135,76,735224,3462,2020-05-17
13,Italy,225435,675,31908,145,125176,68351,762,3728,528,3004960,49691,2020-05-17
14,France,179569,204,28108,483,61213,90248,2087,2752,431,1384633,21218,2020-05-17
15,Germany,176651,407,8049,22,153400,15202,1166,2109,96,3147771,37585,2020-05-17
16,Turkey,149435,1368,4140,44,109962,35333,914,1774,49,1624994,19293,2020-05-17
17,Iran,120198,1806,6988,51,94464,18746,2705,1433,83,686935,8192,2020-05-17
18,India,95698,5050,3025,154,36795,55878,0,69,2,2227642,1616,2020-05-17
19,Peru,92273,3732,2648,125,28621,61004,850,2804,80,650613,19767,2020-05-17
20,Canada,77002,1138,5782,103,38550,32670,502,2042,153,1355665,35958,2020-05-17
