index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,serious_critical,date,active_cases,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop
0,China,77666,7,2664,1,27656,9126,2020-02-25,,,,,
1,S. Korea,977,144,11,3,22,6,2020-02-25,,,,,
2,Diamond Princess,691,0,4,1,10,35,2020-02-25,,,,,
3,Italy,323,94,11,4,2,19,2020-02-25,,,,,
4,Japan,161,2,1,0,23,7,2020-02-25,,,,,
5,Iran,95,34,16,4,25,0,2020-02-25,,,,,
6,Singapore,91,1,0,0,58,7,2020-02-25,,,,,
7,Hong Kong,85,4,2,0,18,6,2020-02-25,,,,,
8,USA,57,4,0,0,6,0,2020-02-25,,,,,
9,Thailand,37,2,0,0,22,2,2020-02-25,,,,,
10,Taiwan,31,1,1,0,5,1,2020-02-25,,,,,
11,Bahrain,23,21,0,0,0,0,2020-02-25,,,,,
12,Australia,22,0,0,0,15,0,2020-02-25,,,,,
13,Malaysia,22,0,0,0,20,0,2020-02-25,,,,,
14,Germany,18,2,0,0,15,1,2020-02-25,,,,,
15,Vietnam,16,0,0,0,16,0,2020-02-25,,,,,
16,France,14,2,1,0,11,0,2020-02-25,,,,,
17,U.K.,13,0,0,0,8,0,2020-02-25,,,,,
18,U.A.E.,13,0,0,0,3,2,2020-02-25,,,,,
19,Canada,11,0,0,0,3,0,2020-02-25,,,,,
20,Kuwait,11,6,0,0,0,0,2020-02-25,,,,,
21,Macao,10,0,0,0,5,0,2020-02-25,,,,,
22,Spain,7,4,0,0,2,0,2020-02-25,,,,,
23,Iraq,5,4,0,0,0,0,2020-02-25,,,,,
24,Oman,4,2,0,0,0,0,2020-02-25,,,,,
25,Philippines,3,0,1,0,2,0,2020-02-25,,,,,
26,India,3,0,0,0,3,0,2020-02-25,,,,,
27,Austria,2,2,0,0,0,0,2020-02-25,,,,,
28,Israel,2,0,0,0,0,0,2020-02-25,,,,,
29,Russia,2,0,0,0,2,0,2020-02-25,,,,,
30,Afghanistan,1,0,0,0,0,0,2020-02-25,,,,,
31,Algeria,1,1,0,0,0,0,2020-02-25,,,,,
32,Belgium,1,0,0,0,1,0,2020-02-25,,,,,
33,Cambodia,1,0,0,0,1,0,2020-02-25,,,,,
34,Croatia,1,1,0,0,0,0,2020-02-25,,,,,
35,Egypt,1,0,0,0,1,0,2020-02-25,,,,,
36,Finland,1,0,0,0,1,0,2020-02-25,,,,,
37,Lebanon,1,0,0,0,0,0,2020-02-25,,,,,
38,Nepal,1,0,0,0,1,0,2020-02-25,,,,,
39,Sri Lanka,1,0,0,0,1,0,2020-02-25,,,,,
40,Sweden,1,0,0,0,0,0,2020-02-25,,,,,
41,Switzerland,1,1,0,0,0,0,2020-02-25,,,,,
