index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,date,total_tests,tests_1m_pop
0,USA,187321,23533,3850,709,6461,177010,3988,566,12,2020-03-31,,
1,Italy,105792,4053,12428,837,15729,77635,4023,1750,206,2020-03-31,,
2,Spain,95923,7967,8464,748,19259,68200,5607,2052,181,2020-03-31,,
3,Germany,71808,4923,775,130,16100,54933,2675,857,9,2020-03-31,,
4,France,52128,7578,3523,499,9444,39161,5565,799,54,2020-03-31,,
5,Iran,44605,3110,2898,141,14656,27051,3703,531,35,2020-03-31,,
6,UK,25150,3009,1789,381,135,23226,163,370,26,2020-03-31,,
7,Switzerland,16605,683,433,74,1823,14349,301,1919,50,2020-03-31,,
8,Turkey,13531,2704,214,46,243,13074,622,160,3,2020-03-31,,
9,Belgium,12775,876,705,192,1696,10374,1021,1102,61,2020-03-31,,
10,Netherlands,12595,845,1039,175,250,11306,1053,735,61,2020-03-31,,
11,Austria,10180,562,128,20,1095,8957,198,1130,14,2020-03-31,,
12,S. Korea,9786,125,162,4,5408,4216,55,191,3,2020-03-31,,
13,Canada,8612,1164,101,12,1242,7269,120,228,3,2020-03-31,,
14,Portugal,7443,1035,160,20,43,7240,188,730,16,2020-03-31,,
15,Brazil,5717,1087,201,38,127,5389,296,27,9,2020-03-31,,
16,Israel,5358,663,20,4,224,5114,94,619,2,2020-03-31,,
17,Australia,4763,303,20,1,345,4398,28,187,8,2020-03-31,,
18,Norway,4641,196,39,7,13,4589,97,856,7,2020-03-31,,
19,Sweden,4435,407,180,34,16,4239,358,439,18,2020-03-31,,
20,Czechia,3308,307,31,8,45,3232,64,309,3,2020-03-31,,
21,Ireland,3235,325,71,17,5,3159,103,655,14,2020-03-31,,
22,Denmark,2860,283,90,13,1,2769,145,494,16,2020-03-31,,
23,Malaysia,2766,140,43,6,537,2186,94,85,1,2020-03-31,,
24,Chile,2738,289,12,4,156,2570,14,143,6,2020-03-31,,
25,Russia,2337,501,17,8,121,2199,8,16,1,2020-03-31,,
26,Poland,2311,256,33,2,7,2271,50,61,9,2020-03-31,,
27,Ecuador,2302,336,79,17,58,2165,100,130,4,2020-03-31,,
28,Romania,2245,136,82,17,220,1943,62,117,4,2020-03-31,,
29,Luxembourg,2178,190,23,1,80,2075,31,3479,37,2020-03-31,,
30,Philippines,2084,538,88,10,49,1947,1,19,8,2020-03-31,,
31,Japan,1953,0,56,0,424,1473,56,15,4,2020-03-31,,
32,Pakistan,1938,221,26,5,76,1836,12,9,1,2020-03-31,,
33,Thailand,1651,127,10,1,342,1299,23,24,1,2020-03-31,,
34,Saudi Arabia,1563,110,10,2,165,1388,31,45,3,2020-03-31,,
35,Indonesia,1528,114,136,14,81,1311,0,6,5,2020-03-31,,
36,Finland,1418,66,17,4,10,1391,56,256,3,2020-03-31,,
37,India,1397,146,35,3,123,1239,0,1,3,2020-03-31,,
38,South Africa,1353,27,5,2,31,1317,7,23,8,2020-03-31,,
39,Greece,1314,102,49,3,52,1213,72,126,5,2020-03-31,,
40,Panama,1181,106,30,3,9,1142,50,274,7,2020-03-31,,
41,Iceland,1135,49,2,0,198,935,11,3326,6,2020-03-31,,
42,Dominican Republic,1109,208,51,9,5,1053,0,102,5,2020-03-31,,
43,Mexico,1094,101,28,8,35,1031,1,8,2,2020-03-31,,
44,Peru,1065,115,30,6,394,641,49,32,9,2020-03-31,,
45,Argentina,1054,234,27,4,240,787,0,23,6,2020-03-31,,
46,Singapore,926,47,3,0,240,683,22,158,5,2020-03-31,,
47,Colombia,906,108,16,2,31,859,35,18,3,2020-03-31,,
48,Serbia,900,115,23,7,42,835,62,103,3,2020-03-31,,
49,Croatia,867,77,6,0,67,794,32,211,1,2020-03-31,,
50,Slovenia,802,46,15,4,10,777,24,386,7,2020-03-31,,
51,Qatar,781,88,2,1,62,717,6,271,7,2020-03-31,,
52,Estonia,745,30,4,1,26,715,13,562,3,2020-03-31,,
53,Algeria,716,132,44,9,46,626,0,16,1,2020-03-31,,
54,Hong Kong,714,31,4,0,128,582,5,95,5,2020-03-31,,
55,Diamond Princess,712,0,10,0,603,99,15,0,0,2020-03-31,,
56,Egypt,710,54,46,5,157,507,0,7,4,2020-03-31,,
57,Iraq,694,64,50,4,170,474,0,17,1,2020-03-31,,
58,UAE,664,53,6,1,61,597,2,67,6,2020-03-31,,
59,New Zealand,647,58,1,0,74,572,2,134,2,2020-03-31,,
60,Ukraine,645,97,17,4,10,618,0,15,4,2020-03-31,,
61,Morocco,617,61,36,3,24,557,1,17,10,2020-03-31,,
62,Bahrain,567,52,4,0,295,268,2,333,2,2020-03-31,,
63,Lithuania,537,46,8,1,7,522,27,197,3,2020-03-31,,
64,Armenia,532,50,3,0,30,499,30,180,1,2020-03-31,,
65,Hungary,492,45,16,1,37,439,6,51,2,2020-03-31,,
66,Lebanon,470,24,12,1,37,421,7,69,2,2020-03-31,,
67,Bosnia and Herzegovina,420,52,13,3,17,390,1,128,4,2020-03-31,,
68,Bulgaria,399,40,8,0,17,374,14,57,1,2020-03-31,,
69,Latvia,398,22,0,0,1,397,3,211,0,2020-03-31,,
70,Tunisia,394,32,10,1,3,381,10,33,8,2020-03-31,,
71,Andorra,376,6,12,4,10,354,12,4866,155,2020-03-31,,
72,Slovakia,363,27,0,0,3,360,1,66,0,2020-03-31,,
73,Moldova,353,55,4,2,18,331,44,88,10,2020-03-31,,
