index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,81054,0,3261,0,72440,5353,1845,56,2020-03-22,,,
1,Italy,59138,5560,5476,651,7024,46638,3000,978,2020-03-22,,,
2,USA,32580,8373,415,113,178,31987,795,98,2020-03-22,,,
3,Spain,28603,3107,1756,375,2125,24722,1785,612,2020-03-22,,,
4,Germany,24852,2488,94,10,266,24492,23,297,2020-03-22,,,
5,Iran,21638,1028,1685,129,7635,12318,0,258,2020-03-22,,,
6,France,16018,1559,674,112,2200,13144,1746,245,2020-03-22,,,
7,S. Korea,8897,98,104,2,2909,5884,59,174,2020-03-22,,,
8,Switzerland,7474,611,98,18,131,7245,141,864,2020-03-22,,,
9,UK,5683,665,281,48,93,5309,20,84,2020-03-22,,,
10,Netherlands,4204,573,179,43,2,4023,354,245,2020-03-22,,,
11,Austria,3580,588,16,8,9,3555,15,397,2020-03-22,,,
12,Belgium,3401,586,75,8,263,3063,288,293,2020-03-22,,,
13,Norway,2263,99,7,0,6,2250,28,417,2020-03-22,,,
14,Sweden,1931,161,21,1,16,1894,68,191,2020-03-22,,,
15,Portugal,1600,320,14,2,5,1581,26,157,2020-03-22,,,
16,Brazil,1546,368,25,7,2,1519,18,7,2020-03-22,,,
17,Canada,1436,108,20,1,14,1402,1,38,2020-03-22,,,
18,Denmark,1395,69,13,0,1,1381,42,241,2020-03-22,,,
19,Australia,1353,281,7,0,88,1258,2,53,2020-03-22,,,
20,Malaysia,1306,123,10,2,139,1157,26,40,2020-03-22,,,
21,Turkey,1236,289,30,9,0,1206,0,15,2020-03-22,,,
22,Czechia,1120,125,1,1,6,1113,19,105,2020-03-22,,,
23,Japan,1086,32,36,0,235,815,57,9,2020-03-22,,,
24,Israel,1071,188,1,0,37,1033,18,124,2020-03-22,,,
25,Ireland,906,121,4,1,5,897,29,183,2020-03-22,,,
26,Luxembourg,798,128,8,0,6,784,3,1275,2020-03-22,,,
27,Ecuador,789,257,14,7,3,772,2,45,2020-03-22,,,
28,Pakistan,776,131,4,1,13,759,0,4,2020-03-22,,,
29,Diamond Princess,712,0,8,0,567,137,15,0,2020-03-22,,,
30,Poland,634,98,7,2,13,614,3,17,2020-03-22,,,
31,Chile,632,95,1,0,8,623,7,33,2020-03-22,,,
32,Finland,626,103,1,0,10,615,12,113,2020-03-22,,,
33,Greece,624,94,15,2,19,590,18,60,2020-03-22,,,
34,Thailand,599,188,1,0,44,554,7,9,2020-03-22,,,
35,Iceland,568,95,1,0,5,562,1,1665,2020-03-22,,,
36,Indonesia,514,64,48,10,29,437,0,2,2020-03-22,,,
37,Saudi Arabia,511,119,0,0,17,494,0,15,2020-03-22,,,
38,Qatar,494,13,0,0,33,461,6,171,2020-03-22,,,
39,Singapore,455,23,2,0,144,309,14,78,2020-03-22,,,
40,Romania,433,66,3,3,64,366,14,23,2020-03-22,,,
41,Slovenia,414,31,2,1,0,412,12,199,2020-03-22,,,
